,Feature,Ranking
93,"('cases_2_day_before', 'Selangor')",2
47,"('daily_vacc', 'Sarawak')",3
138,"('cases_4_day_before', 'Selangor')",4
31,"('cases_new', 'Sarawak')",5
16,cluster_workplace,6
3,cases_cluster,7
55,"('cases_1_day_before', 'Kelantan')",8
77,"('cases_1_week_before', 'Sarawak')",8
86,"('cases_2_day_before', 'Melaka')",10
63,"('cases_1_day_before', 'Selangor')",11
168,"('cases_6_day_before', 'Selangor')",12
102,"('cases_2_week_before', 'Negeri Sembilan')",13
104,"('cases_2_week_before', 'Perak')",15
110,"('cases_2_week_before', 'W.P. Kuala Lumpur')",15
128,"('cases_4_day_before', 'Johor')",15
125,"('cases_3_day_before', 'W.P. Kuala Lumpur')",17
59,"('cases_1_day_before', 'Perak')",18
121,"('cases_3_day_before', 'Sabah')",20
167,"('cases_6_day_before', 'Sarawak')",20
146,"('cases_5_day_before', 'Melaka')",20
74,"('cases_1_week_before', 'Perak')",22
145,"('cases_5_day_before', 'Kelantan')",23
147,"('cases_5_day_before', 'Negeri Sembilan')",24
109,"('cases_2_week_before', 'Terengganu')",24
114,"('cases_3_day_before', 'Kedah')",26
23,"('cases_new', 'Kelantan')",27
140,"('cases_4_day_before', 'W.P. Kuala Lumpur')",28
61,"('cases_1_day_before', 'Sabah')",29
78,"('cases_1_week_before', 'Selangor')",30
33,"('cases_new', 'Terengganu')",31
