,0
0,148087.3053021602
1,139720.6788740944
2,133535.35713222311
3,131933.58170078194
4,134177.62172334842
5,136351.97527002438
6,137592.1681639837
7,137322.80156187803
8,136538.7947558021
9,135964.2413996069
10,135879.57690363293
11,136075.89847403188
12,136309.9205658657
13,136404.47624101184
14,136372.04570808838
15,136294.0784172161
16,136243.03847639068
17,136237.2215351255
18,136258.88759869692
19,136280.41816430763
20,136288.42957589024
21,136284.40426029387
22,136276.82000545666
23,136272.19152654006
24,136272.03074594808
25,136274.2335651366
26,136276.25553739988
27,136276.90144623947
28,136276.4375787054
29,136275.7000188308
30,136275.2910398951
31,136275.30803239584
32,136275.53197756517
33,136275.71953182545
34,136275.76979050413
35,136275.7181129584
36,136275.64719570798
