,Forecast
2021-10-27,130101.76454196566
2021-10-28,132717.91325414705
2021-10-29,131838.58276066586
2021-10-30,132350.61425106777
2021-10-31,129835.93205828647
2021-11-01,145308.51322383917
2021-11-02,139426.66539999231
2021-11-03,124437.11828703503
2021-11-04,132602.77005918275
2021-11-05,134766.69935001028
2021-11-06,140145.4457236556
2021-11-07,137038.03295142442
2021-11-08,130672.6704268395
2021-11-09,133314.56767252096
2021-11-10,132412.11293382992
2021-11-11,132913.2761854594
2021-11-12,130385.12756320224
2021-11-13,145845.24281843065
2021-11-14,139951.04716661226
2021-11-15,124949.47632616333
2021-11-16,133103.370344849
2021-11-17,135255.81406384488
2021-11-18,140623.33781262452
2021-11-19,137504.96005532672
2021-11-20,131128.88409772975
2021-11-21,133760.3137335278
2021-11-22,132847.6315573852
2021-11-23,133338.8020358751
2021-11-24,130800.88991991302
2021-11-25,146251.4657003096
2021-11-26,140347.94945248694
2021-11-27,125337.27187279671
2021-11-28,133482.26810215748
2021-11-29,135626.01818748622
2021-11-30,140985.0477739993
2021-12-01,137858.37074905663
2021-12-02,131474.18594666952
