,date,state,beds_icu,beds_icu_rep,beds_icu_total,beds_icu_covid,vent,vent_port,icu_covid,icu_pui,icu_noncovid,vent_covid,vent_pui,vent_noncovid,vent_used,vent_port_used
0,2020-03-24,Johor,10,22,32,10,11,2,0,0,1,0,0,0,8,0
1,2020-03-24,Kedah,35,0,35,16,34,0,2,1,12,1,1,0,19,0
2,2020-03-24,Kelantan,39,0,39,20,42,4,1,0,20,1,0,0,26,0
3,2020-03-24,Melaka,26,0,26,12,23,4,0,2,12,0,1,0,13,5
4,2020-03-24,Negeri Sembilan,18,0,18,10,14,9,0,0,8,0,0,0,1,6
5,2020-03-24,Pahang,21,0,21,7,37,4,2,0,14,1,0,0,32,1
6,2020-03-24,Perak,39,0,39,17,50,14,24,2,6,4,2,0,37,9
7,2020-03-24,Perlis,13,0,13,4,17,8,0,0,8,0,0,0,16,4
8,2020-03-24,Pulau Pinang,26,0,26,6,28,7,0,0,8,0,0,0,20,4
9,2020-03-24,Sabah,66,4,70,60,66,16,1,0,35,1,0,0,41,7
10,2020-03-24,Sarawak,51,12,63,26,64,20,7,1,29,7,1,0,47,7
11,2020-03-24,Selangor,42,62,104,42,56,7,23,0,2,12,0,0,56,0
12,2020-03-24,Terengganu,23,0,23,12,33,3,0,0,14,0,0,0,23,3
13,2020-03-24,W.P. Kuala Lumpur,33,0,33,30,43,16,9,0,1,9,0,0,10,0
14,2020-03-24,W.P. Labuan,5,2,7,0,5,2,0,0,2,0,0,0,0,1
15,2020-03-25,Johor,10,22,32,10,11,2,2,0,1,1,0,0,1,0
16,2020-03-25,Kedah,35,0,35,16,34,0,3,0,14,2,0,0,21,0
17,2020-03-25,Kelantan,44,0,44,20,47,4,3,2,32,2,0,0,36,0
18,2020-03-25,Melaka,26,0,26,12,23,4,0,1,8,0,1,0,15,0
19,2020-03-25,Negeri Sembilan,18,0,18,10,14,9,1,0,7,0,0,0,5,7
20,2020-03-25,Pahang,21,0,21,7,37,4,2,0,13,2,0,0,33,1
21,2020-03-25,Perak,47,0,47,17,60,14,8,0,16,7,0,0,33,7
22,2020-03-25,Perlis,13,0,13,4,17,8,0,0,9,0,0,0,16,4
23,2020-03-25,Pulau Pinang,26,0,26,6,28,7,1,0,8,1,0,0,18,0
24,2020-03-25,Sabah,66,4,70,60,66,16,1,0,24,1,0,0,27,5
25,2020-03-25,Sarawak,51,12,63,26,64,20,10,0,29,9,0,0,46,3
26,2020-03-25,Selangor,42,62,104,42,56,7,19,0,4,15,0,0,56,7
27,2020-03-25,Terengganu,23,0,23,12,33,3,0,0,13,0,0,0,21,3
28,2020-03-25,W.P. Kuala Lumpur,33,0,33,30,43,16,10,0,0,10,0,0,10,0
29,2020-03-25,W.P. Labuan,5,2,7,0,5,2,0,0,2,0,0,0,0,0
30,2020-03-26,Johor,10,22,32,10,11,2,3,2,0,1,0,0,1,0
31,2020-03-26,Kedah,35,0,35,16,34,0,3,1,14,2,1,0,22,0
32,2020-03-26,Kelantan,44,0,44,20,47,4,4,2,23,1,2,0,33,0
33,2020-03-26,Melaka,26,0,26,12,23,4,0,2,14,0,1,0,5,1
34,2020-03-26,Negeri Sembilan,18,0,18,10,14,9,3,0,5,2,0,0,2,0
35,2020-03-26,Pahang,21,0,21,7,37,4,2,0,11,2,0,0,32,0
36,2020-03-26,Perak,47,0,47,17,60,14,9,2,14,8,2,0,42,0
37,2020-03-26,Perlis,13,0,13,4,17,8,0,1,7,0,1,0,15,0
38,2020-03-26,Pulau Pinang,26,0,26,6,28,7,1,0,9,1,0,0,19,2
39,2020-03-26,Sabah,66,4,70,60,66,16,3,1,22,2,1,0,31,0
40,2020-03-26,Sarawak,51,12,63,26,64,20,10,1,24,9,1,0,34,4
41,2020-03-26,Selangor,42,62,104,42,56,7,24,2,1,12,0,0,56,7
42,2020-03-26,Terengganu,23,0,23,12,33,3,0,0,16,0,0,0,21,0
43,2020-03-26,W.P. Kuala Lumpur,33,0,33,30,43,16,9,0,16,9,0,0,35,0
44,2020-03-26,W.P. Labuan,5,2,7,0,5,2,0,0,4,0,0,0,3,0
