State,New cases,Vaccination
Johor,1,1
Kedah,0.888920021,0.951984773
Kelantan,0.899563183,0.852010499
Melaka,0.773797602,0.892771627
Negeri Sembilan,0.464484071,0.793175675
Pahang,0.904000393,0.920885227
Pulau Pinang,0.935365255,0.948442648
Perak,0.93448672,0.945580396
Perlis,0.758210523,0.818436034
Sabah,0.87141435,0.961880069
Sarawak,0.862386999,0.421113071
Selangor,0.723119045,0.746816674
Terengganu,0.901847618,0.918581547
W.P. Kuala Lumpur,0.597813546,0.747397427
W.P. Labuan,0.060740323,0.355376723
W.P. Putrajaya,0.646311431,0.691117516
