State,New Case,Vaccination
Johor,0.597813546,0.747397427
Kedah,0.725568588,0.731264102
Kelantan,0.533352588,0.651014943
Melaka,0.831106799,0.811038139
Negeri Sembilan,0.815474922,0.929401712
Pahang,0.642897057,0.756693858
Pulau Pinang,0.547142366,0.861682195
Perak,0.57701743,0.775493735
Perlis,0.269446172,0.786721308
Sabah,0.539392232,0.754760192
Sarawak,0.317446272,0.790765831
Selangor,0.942718176,0.972237563
Terengganu,0.506174204,0.730629095
W.P. Kuala Lumpur,1,1
W.P. Labuan,0.245802521,0.694349301
W.P. Putrajaya,0.835583531,0.911194375
