State,New Case,Vaccination
Johor,0.888920021,0.951984773
Kedah,1,1
Kelantan,0.87420501,0.92290547
Melaka,0.847847389,0.8743068
Negeri Sembilan,0.551755102,0.806326778
Pahang,0.898112607,0.927405576
Pulau Pinang,0.923036164,0.927701729
Perak,0.899755629,0.93767555
Perlis,0.690664546,0.850596806
Sabah,0.910344495,0.913945751
Sarawak,0.741668888,0.446029747
Selangor,0.839477544,0.726009155
Terengganu,0.856803621,0.906157005
W.P. Kuala Lumpur,0.725568588,0.731264102
W.P. Labuan,0.032209127,0.381216363
W.P. Putrajaya,0.709349562,0.702342089
