State,New Case,Vaccination
Johor,0.899563183,0.852010499
Kedah,0.87420501,0.92290547
Kelantan,1,1
Melaka,0.747255074,0.788406816
Negeri Sembilan,0.407484116,0.734743126
Pahang,0.914975117,0.862682396
Pulau Pinang,0.921690117,0.823725507
Perak,0.916153667,0.845498597
Perlis,0.818564815,0.827682473
Sabah,0.841972541,0.805553206
Sarawak,0.869208666,0.423469475
Selangor,0.654114222,0.63525599
Terengganu,0.933816867,0.892283146
W.P. Kuala Lumpur,0.533352588,0.651014943
W.P. Labuan,0.053445682,0.383666013
W.P. Putrajaya,0.603075507,0.631965567
