State,New Case,Vaccination
Johor,0.773797602,0.892771627
Kedah,0.847847389,0.8743068
Kelantan,0.747255074,0.788406816
Melaka,1,1
Negeri Sembilan,0.742458131,0.868764633
Pahang,0.835523065,0.935249141
Pulau Pinang,0.753819473,0.933258813
Perak,0.770343717,0.903366331
Perlis,0.530442461,0.827396347
Sabah,0.717807684,0.884281128
Sarawak,0.592625296,0.554962465
Selangor,0.896062101,0.803446817
Terengganu,0.736957914,0.835371528
W.P. Kuala Lumpur,0.831106799,0.811038139
W.P. Labuan,0.240360412,0.519002092
W.P. Putrajaya,0.811998197,0.772542642
