State,New Case,Vaccination
Johor,0.464484071,0.793175675
Kedah,0.551755102,0.806326778
Kelantan,0.407484116,0.734743126
Melaka,0.742458131,0.868764633
Negeri Sembilan,1,1
Pahang,0.54144061,0.824136111
Pulau Pinang,0.408280947,0.89982768
Perak,0.456099819,0.848616798
Perlis,0.193801523,0.842783675
Sabah,0.387978376,0.801801683
Sarawak,0.268181831,0.715534622
Selangor,0.803333711,0.947722201
Terengganu,0.390847916,0.772165298
W.P. Kuala Lumpur,0.815474922,0.929401712
W.P. Labuan,0.489408083,0.628686613
W.P. Putrajaya,0.715990945,0.929863885
