State,New Case,Vaccination
Johor,0.904000393,0.920885227
Kedah,0.898112607,0.927405576
Kelantan,0.914975117,0.862682396
Melaka,0.835523065,0.935249141
Negeri Sembilan,0.54144061,0.824136111
Pahang,1,1
Pulau Pinang,0.894475658,0.927596172
Perak,0.919387809,0.942984174
Perlis,0.765551085,0.842057743
Sabah,0.825370426,0.894548352
Sarawak,0.82173744,0.47809069
Selangor,0.75677381,0.74769749
Terengganu,0.928412959,0.858024897
W.P. Kuala Lumpur,0.642897057,0.756693858
W.P. Labuan,0.074473287,0.439024983
W.P. Putrajaya,0.716968953,0.716956861
