State,New Case,Vaccination
Johor,0.93448672,0.945580396
Kedah,0.899755629,0.93767555
Kelantan,0.916153667,0.845498597
Melaka,0.770343717,0.903366331
Negeri Sembilan,0.456099819,0.848616798
Pahang,0.919387809,0.942984174
Pulau Pinang,0.936931438,0.946012492
Perak,1,1
Perlis,0.792026946,0.860197779
Sabah,0.873601183,0.931081046
Sarawak,0.86373164,0.513433353
Selangor,0.705271354,0.765048392
Terengganu,0.918928613,0.866315514
W.P. Kuala Lumpur,0.57701743,0.775493735
W.P. Labuan,0.035580957,0.463961332
W.P. Putrajaya,0.63064294,0.734352865
