State,New Case,Vaccination
Johor,0.87141435,0.961880069
Kedah,0.910344495,0.913945751
Kelantan,0.841972541,0.805553206
Melaka,0.717807684,0.884281128
Negeri Sembilan,0.387978376,0.801801683
Pahang,0.825370426,0.894548352
Pulau Pinang,0.927267044,0.932387392
Perak,0.873601183,0.931081046
Perlis,0.738234645,0.800394168
Sabah,1,1
Sarawak,0.76335221,0.426015448
Selangor,0.681695039,0.761960409
Terengganu,0.816494371,0.877213291
W.P. Kuala Lumpur,0.539392232,0.754760192
W.P. Labuan,0.009065048,0.384599754
W.P. Putrajaya,0.542199076,0.711099345
