State,New Case,Vaccination
Johor,0.862386999,0.421113071
Kedah,0.741668888,0.446029747
Kelantan,0.869208666,0.423469475
Melaka,0.592625296,0.554962465
Negeri Sembilan,0.268181831,0.715534622
Pahang,0.82173744,0.47809069
Pulau Pinang,0.874995366,0.588395328
Perak,0.86373164,0.513433353
Perlis,0.789535362,0.636012384
Sabah,0.76335221,0.426015448
Sarawak,1,1
Selangor,0.463073221,0.721883813
Terengganu,0.884758199,0.458047499
W.P. Kuala Lumpur,0.317446272,0.790765831
W.P. Labuan,0.063193368,0.895649357
W.P. Putrajaya,0.422023169,0.680643318
