State,New Case,Vaccination
Johor,0.901847618,0.918581547
Kedah,0.856803621,0.906157005
Kelantan,0.933816867,0.892283146
Melaka,0.736957914,0.835371528
Negeri Sembilan,0.390847916,0.772165298
Pahang,0.928412959,0.858024897
Pulau Pinang,0.899323889,0.877725711
Perak,0.918928613,0.866315514
Perlis,0.842733477,0.816249279
Sabah,0.816494371,0.877213291
Sarawak,0.884758199,0.458047499
Selangor,0.630400822,0.72117582
Terengganu,1,1
W.P. Kuala Lumpur,0.506174204,0.730629095
W.P. Labuan,0.00542564,0.398983104
W.P. Putrajaya,0.631342026,0.670570467
