,Feature,Ranking
247,"('admitted_5_day_before', 'Negeri Sembilan')",2
213,"('admitted_3_day_before', 'Johor')",3
185,"('admitted_2_day_before', 'Kelantan')",4
230,"('admitted_4_day_before', 'Kelantan')",4
215,"('admitted_3_day_before', 'Kelantan')",6
130,"('ICU_6_day_before', 'Sarawak')",7
313,"('vacc_2_week_before', 'Sarawak')",8
184,"('admitted_2_day_before', 'Kedah')",9
219,"('admitted_3_day_before', 'Perak')",10
121,"('ICU_6_day_before', 'Johor')",11
189,"('admitted_2_day_before', 'Perak')",12
61,"('ICU_2_week_before', 'Johor')",13
96,"('ICU_4_day_before', 'Pahang')",14
252,"('admitted_5_day_before', 'Sarawak')",15
63,"('ICU_2_week_before', 'Kelantan')",16
278,"('cases_new', 'Pahang')",17
79,"('ICU_3_day_before', 'Melaka')",18
116,"('ICU_5_day_before', 'Selangor')",19
234,"('admitted_4_day_before', 'Perak')",20
183,"('admitted_2_day_before', 'Johor')",21
205,"('admitted_2_week_before', 'Perlis')",22
162,"('admitted_1_day_before', 'Sarawak')",22
288,"('cases_new', 'W.P. Putrajaya')",24
290,"('vacc_1_week_before', 'Kedah')",25
237,"('admitted_4_day_before', 'Sarawak')",26
164,"('admitted_1_day_before', 'Terengganu')",27
16,"('ICU_1_day_before', 'Johor')",27
255,"('admitted_5_day_before', 'W.P. Kuala Lumpur')",29
153,"('admitted_1_day_before', 'Johor')",30
217,"('admitted_3_day_before', 'Negeri Sembilan')",31
276,"('cases_new', 'Melaka')",32
301,"('vacc_1_week_before', 'W.P. Kuala Lumpur')",33
65,"('ICU_2_week_before', 'Negeri Sembilan')",35
193,"('admitted_2_day_before', 'Selangor')",35
10,"('icu_covid', 'Sarawak')",35
34,"('ICU_1_week_before', 'Melaka')",37
138,"('admitted_total', 'Kelantan')",38
36,"('ICU_1_week_before', 'Pahang')",39
298,"('vacc_1_week_before', 'Sarawak')",40
319,"('vacc_3_week_before', 'Johor')",41
81,"('ICU_3_day_before', 'Pahang')",41
151,"('admitted_total', 'W.P. Putrajaya')",44
225,"('admitted_3_day_before', 'W.P. Kuala Lumpur')",44
188,"('admitted_2_day_before', 'Pahang')",44
329,"('vacc_3_week_before', 'Selangor')",46
163,"('admitted_1_day_before', 'Selangor')",47
165,"('admitted_1_day_before', 'W.P. Kuala Lumpur')",48
9,"('icu_covid', 'Sabah')",49
232,"('admitted_4_day_before', 'Negeri Sembilan')",50
