,date,state,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_pvax,deaths_fvax,deaths_tat
0,2020-03-17,Johor,1,0,1,0,0,0,0
1,2020-03-17,Kedah,0,0,0,0,0,0,0
2,2020-03-17,Kelantan,0,0,0,0,0,0,0
3,2020-03-17,Melaka,0,0,0,0,0,0,0
4,2020-03-17,Negeri Sembilan,0,0,0,0,0,0,0
5,2020-03-17,Pahang,0,0,0,0,0,0,0
6,2020-03-17,Perak,0,0,0,0,0,0,0
7,2020-03-17,Perlis,0,0,0,0,0,0,0
8,2020-03-17,Pulau Pinang,0,0,0,0,0,0,0
9,2020-03-17,Sabah,0,0,0,0,0,0,0
10,2020-03-17,Sarawak,1,0,1,0,0,0,0
11,2020-03-17,Selangor,0,0,0,0,0,0,0
12,2020-03-17,Terengganu,0,0,0,0,0,0,0
13,2020-03-17,W.P. Kuala Lumpur,0,0,0,0,0,0,0
14,2020-03-17,W.P. Labuan,0,0,0,0,0,0,0
15,2020-03-17,W.P. Putrajaya,0,0,0,0,0,0,0
16,2020-03-18,Johor,0,0,0,0,0,0,0
17,2020-03-18,Kedah,0,0,0,0,0,0,0
18,2020-03-18,Kelantan,0,0,0,0,0,0,0
19,2020-03-18,Melaka,0,0,0,0,0,0,0
20,2020-03-18,Negeri Sembilan,0,0,0,0,0,0,0
21,2020-03-18,Pahang,0,0,0,0,0,0,0
22,2020-03-18,Perak,0,0,0,0,0,0,0
23,2020-03-18,Perlis,0,0,0,0,0,0,0
24,2020-03-18,Pulau Pinang,0,0,0,0,0,0,0
25,2020-03-18,Sabah,0,0,0,0,0,0,0
26,2020-03-18,Sarawak,0,0,0,0,0,0,0
27,2020-03-18,Selangor,0,0,0,0,0,0,0
28,2020-03-18,Terengganu,0,0,0,0,0,0,0
29,2020-03-18,W.P. Kuala Lumpur,0,0,0,0,0,0,0
30,2020-03-18,W.P. Labuan,0,0,0,0,0,0,0
31,2020-03-18,W.P. Putrajaya,0,0,0,0,0,0,0
32,2020-03-19,Johor,0,0,0,0,0,0,0
33,2020-03-19,Kedah,0,0,0,0,0,0,0
34,2020-03-19,Kelantan,0,0,0,0,0,0,0
35,2020-03-19,Melaka,0,0,0,0,0,0,0
36,2020-03-19,Negeri Sembilan,0,0,0,0,0,0,0
37,2020-03-19,Pahang,0,0,0,0,0,0,0
38,2020-03-19,Perak,0,0,0,0,0,0,0
39,2020-03-19,Perlis,0,0,0,0,0,0,0
40,2020-03-19,Pulau Pinang,0,0,0,0,0,0,0
41,2020-03-19,Sabah,0,0,0,0,0,0,0
42,2020-03-19,Sarawak,0,0,0,0,0,0,0
43,2020-03-19,Selangor,0,0,0,0,0,0,0
44,2020-03-19,Terengganu,0,0,0,0,0,0,0
45,2020-03-19,W.P. Kuala Lumpur,0,0,0,0,0,0,0
46,2020-03-19,W.P. Labuan,0,0,0,0,0,0,0
47,2020-03-19,W.P. Putrajaya,0,0,0,0,0,0,0
48,2020-03-20,Johor,0,0,0,0,0,0,0
49,2020-03-20,Kedah,0,0,0,0,0,0,0
50,2020-03-20,Kelantan,0,0,0,0,0,0,0
51,2020-03-20,Melaka,0,0,0,0,0,0,0
52,2020-03-20,Negeri Sembilan,0,0,0,0,0,0,0
53,2020-03-20,Pahang,0,0,0,0,0,0,0
54,2020-03-20,Perak,0,0,0,0,0,0,0
55,2020-03-20,Perlis,0,0,0,0,0,0,0
56,2020-03-20,Pulau Pinang,0,0,0,0,0,0,0
57,2020-03-20,Sabah,1,0,1,0,0,0,0
58,2020-03-20,Sarawak,0,0,0,0,0,0,0
59,2020-03-20,Selangor,0,0,0,0,0,0,0
60,2020-03-20,Terengganu,0,0,0,0,0,0,0
61,2020-03-20,W.P. Kuala Lumpur,0,0,0,0,0,0,0
62,2020-03-20,W.P. Labuan,0,0,0,0,0,0,0
63,2020-03-20,W.P. Putrajaya,0,0,0,0,0,0,0
64,2020-03-21,Johor,0,0,0,0,0,0,0
65,2020-03-21,Kedah,0,0,0,0,0,0,0
66,2020-03-21,Kelantan,1,0,1,0,0,0,0
67,2020-03-21,Melaka,1,0,1,0,0,0,0
68,2020-03-21,Negeri Sembilan,0,0,0,0,0,0,0
69,2020-03-21,Pahang,0,0,0,0,0,0,0
70,2020-03-21,Perak,0,0,0,0,0,0,0
71,2020-03-21,Perlis,0,0,0,0,0,0,0
72,2020-03-21,Pulau Pinang,0,0,0,0,0,0,0
73,2020-03-21,Sabah,0,0,0,0,0,0,0
74,2020-03-21,Sarawak,1,0,1,0,0,0,0
75,2020-03-21,Selangor,0,0,0,0,0,0,0
76,2020-03-21,Terengganu,0,0,0,0,0,0,0
77,2020-03-21,W.P. Kuala Lumpur,1,0,1,0,0,0,0
78,2020-03-21,W.P. Labuan,0,0,0,0,0,0,0
79,2020-03-21,W.P. Putrajaya,0,0,0,0,0,0,0
80,2020-03-22,Johor,0,0,0,0,0,0,0
81,2020-03-22,Kedah,0,0,0,0,0,0,0
82,2020-03-22,Kelantan,0,0,0,0,0,0,0
83,2020-03-22,Melaka,0,0,0,0,0,0,0
84,2020-03-22,Negeri Sembilan,0,0,0,0,0,0,0
85,2020-03-22,Pahang,0,0,0,0,0,0,0
86,2020-03-22,Perak,0,0,0,0,0,0,0
87,2020-03-22,Perlis,1,0,1,0,0,0,0
88,2020-03-22,Pulau Pinang,1,0,1,0,0,0,0
89,2020-03-22,Sabah,0,0,0,0,0,0,0
90,2020-03-22,Sarawak,1,1,1,1,0,0,0
91,2020-03-22,Selangor,0,0,0,0,0,0,0
92,2020-03-22,Terengganu,0,0,0,0,0,0,0
93,2020-03-22,W.P. Kuala Lumpur,1,0,1,0,0,0,0
94,2020-03-22,W.P. Labuan,0,0,0,0,0,0,0
95,2020-03-22,W.P. Putrajaya,0,0,0,0,0,0,0
96,2020-03-23,Johor,3,0,3,0,0,0,0
97,2020-03-23,Kedah,0,0,0,0,0,0,0
98,2020-03-23,Kelantan,0,0,0,0,0,0,0
99,2020-03-23,Melaka,0,0,0,0,0,0,0
100,2020-03-23,Negeri Sembilan,0,0,0,0,0,0,0
101,2020-03-23,Pahang,0,0,0,0,0,0,0
102,2020-03-23,Perak,0,0,0,0,0,0,0
103,2020-03-23,Perlis,0,0,0,0,0,0,0
104,2020-03-23,Pulau Pinang,0,0,0,0,0,0,0
105,2020-03-23,Sabah,0,0,0,0,0,0,0
106,2020-03-23,Sarawak,2,0,2,0,0,0,0
107,2020-03-23,Selangor,0,0,0,0,0,0,0
108,2020-03-23,Terengganu,0,0,0,0,0,0,0
109,2020-03-23,W.P. Kuala Lumpur,0,0,0,0,0,0,0
110,2020-03-23,W.P. Labuan,0,0,0,0,0,0,0
111,2020-03-23,W.P. Putrajaya,0,0,0,0,0,0,0
112,2020-03-24,Johor,0,0,0,0,0,0,0
113,2020-03-24,Kedah,0,0,0,0,0,0,0
114,2020-03-24,Kelantan,0,0,0,0,0,0,0
115,2020-03-24,Melaka,1,0,1,0,0,0,0
116,2020-03-24,Negeri Sembilan,0,0,0,0,0,0,0
117,2020-03-24,Pahang,0,0,0,0,0,0,0
118,2020-03-24,Perak,0,0,0,0,0,0,0
119,2020-03-24,Perlis,0,0,0,0,0,0,0
120,2020-03-24,Pulau Pinang,0,0,0,0,0,0,0
121,2020-03-24,Sabah,0,0,0,0,0,0,0
122,2020-03-24,Sarawak,0,0,0,0,0,0,0
123,2020-03-24,Selangor,1,0,1,0,0,0,0
124,2020-03-24,Terengganu,0,0,0,0,0,0,0
125,2020-03-24,W.P. Kuala Lumpur,0,0,0,0,0,0,0
126,2020-03-24,W.P. Labuan,0,0,0,0,0,0,0
127,2020-03-24,W.P. Putrajaya,0,0,0,0,0,0,0
128,2020-03-25,Johor,2,0,2,0,0,0,0
129,2020-03-25,Kedah,0,0,0,0,0,0,0
130,2020-03-25,Kelantan,0,0,0,0,0,0,0
